2026-06-11 00:31:55,298 - INFO - Epoch 1 | Step 1500 | Loss: 6.5226
2026-06-11 00:32:13,600 - INFO - Epoch 1 | Step 1600 | Loss: 6.4699
2026-06-11 00:32:43,133 - INFO - Epoch 2 | Step 100 | Loss: 5.5923
2026-06-11 00:32:58,644 - INFO - Epoch 2 | Step 200 | Loss: 5.5549
2026-06-11 00:33:17,111 - INFO - Epoch 2 | Step 300 | Loss: 5.5308
2026-06-11 00:33:32,752 - INFO - Epoch 2 | Step 400 | Loss: 5.5084
2026-06-11 00:33:51,280 - INFO - Epoch 2 | Step 500 | Loss: 5.4867
2026-06-11 00:34:06,594 - INFO - Epoch 2 | Step 600 | Loss: 5.4650
2026-06-11 00:34:25,013 - INFO - Epoch 2 | Step 700 | Loss: 5.4402
2026-06-11 00:34:40,248 - INFO - Epoch 2 | Step 800 | Loss: 5.4195
2026-06-11 00:34:58,572 - INFO - Epoch 2 | Step 900 | Loss: 5.3951
2026-06-11 00:35:14,225 - INFO - Epoch 2 | Step 1000 | Loss: 5.3752
2026-06-11 00:35:30,218 - INFO - Epoch 2 | Step 1100 | Loss: 5.3513
2026-06-11 00:35:48,583 - INFO - Epoch 2 | Step 1200 | Loss: 5.3292
2026-06-11 00:36:04,186 - INFO - Epoch 2 | Step 1300 | Loss: 5.3093
2026-06-11 00:36:22,350 - INFO - Epoch 2 | Step 1400 | Loss: 5.2909
2026-06-11 00:36:38,086 - INFO - Epoch 2 | Step 1500 | Loss: 5.2712
2026-06-11 00:36:56,043 - INFO - Epoch 2 | Step 1600 | Loss: 5.2534
2026-06-11 00:37:29,708 - INFO - Epoch 3 | Step 100 | Loss: 4.8160
2026-06-11 00:37:45,290 - INFO - Epoch 3 | Step 200 | Loss: 4.8173
2026-06-11 00:38:03,103 - INFO - Epoch 3 | Step 300 | Loss: 4.7959
2026-06-11 00:38:18,756 - INFO - Epoch 3 | Step 400 | Loss: 4.7858
2026-06-11 00:38:36,635 - INFO - Epoch 3 | Step 500 | Loss: 4.7849
2026-06-11 00:38:52,272 - INFO - Epoch 3 | Step 600 | Loss: 4.7777
2026-06-11 00:39:10,089 - INFO - Epoch 3 | Step 700 | Loss: 4.7676
2026-06-11 00:39:25,674 - INFO - Epoch 3 | Step 800 | Loss: 4.7578
2026-06-11 00:39:43,514 - INFO - Epoch 3 | Step 900 | Loss: 4.7499
2026-06-11 00:39:58,998 - INFO - Epoch 3 | Step 1000 | Loss: 4.7426
2026-06-11 00:40:16,911 - INFO - Epoch 3 | Step 1100 | Loss: 4.7325
2026-06-11 00:40:32,485 - INFO - Epoch 3 | Step 1200 | Loss: 4.7216
2026-06-11 00:40:50,450 - INFO - Epoch 3 | Step 1300 | Loss: 4.7142
2026-06-11 00:41:06,071 - INFO - Epoch 3 | Step 1400 | Loss: 4.7047
2026-06-11 00:41:24,017 - INFO - Epoch 3 | Step 1500 | Loss: 4.6956
2026-06-11 00:41:39,698 - INFO - Epoch 3 | Step 1600 | Loss: 4.6856
2026-06-11 00:42:07,083 - INFO - Epoch 4 | Step 100 | Loss: 4.3794
2026-06-11 00:42:22,444 - INFO - Epoch 4 | Step 200 | Loss: 4.3818
2026-06-11 00:42:40,733 - INFO - Epoch 4 | Step 300 | Loss: 4.3852
2026-06-11 00:42:56,290 - INFO - Epoch 4 | Step 400 | Loss: 4.3805
2026-06-11 00:43:14,312 - INFO - Epoch 4 | Step 500 | Loss: 4.3775
2026-06-11 00:43:29,822 - INFO - Epoch 4 | Step 600 | Loss: 4.3748
2026-06-11 00:43:47,870 - INFO - Epoch 4 | Step 700 | Loss: 4.3729
2026-06-11 00:44:03,360 - INFO - Epoch 4 | Step 800 | Loss: 4.3674
2026-06-11 00:44:21,433 - INFO - Epoch 4 | Step 900 | Loss: 4.3608
2026-06-11 00:44:36,872 - INFO - Epoch 4 | Step 1000 | Loss: 4.3540
2026-06-11 00:44:55,076 - INFO - Epoch 4 | Step 1100 | Loss: 4.3499
2026-06-11 00:45:10,461 - INFO - Epoch 4 | Step 1200 | Loss: 4.3442
2026-06-11 00:45:28,810 - INFO - Epoch 4 | Step 1300 | Loss: 4.3401
2026-06-11 00:45:44,204 - INFO - Epoch 4 | Step 1400 | Loss: 4.3347
2026-06-11 00:46:02,329 - INFO - Epoch 4 | Step 1500 | Loss: 4.3301
2026-06-11 00:46:17,850 - INFO - Epoch 4 | Step 1600 | Loss: 4.3253
2026-06-11 00:46:51,494 - INFO - Epoch 5 | Step 100 | Loss: 4.0821
2026-06-11 00:47:09,537 - INFO - Epoch 5 | Step 200 | Loss: 4.0726
2026-06-11 00:47:24,866 - INFO - Epoch 5 | Step 300 | Loss: 4.0858
2026-06-11 00:47:42,802 - INFO - Epoch 5 | Step 400 | Loss: 4.0788
2026-06-11 00:47:58,197 - INFO - Epoch 5 | Step 500 | Loss: 4.0820
2026-06-11 00:48:16,323 - INFO - Epoch 5 | Step 600 | Loss: 4.0797
2026-06-11 00:48:31,551 - INFO - Epoch 5 | Step 700 | Loss: 4.0761
